2025-07-13 11:49:52.125311 | 192.168.1.2 | ACTIVE
2025-07-13 11:49:16.892889 | 192.168.1.4 | ACTIVE
2025-07-13 11:49:52.125311 | 192.168.1.2 | ACTIVE
2025-07-13 11:49:16.892889 | 192.168.1.4 | ACTIVE
2025-07-13 11:49:52.125311 | 192.168.1.2 | ACTIVE
2025-07-13 11:49:16.892889 | 192.168.1.4 | ACTIVE
2025-07-13 11:49:52.125311 | 192.168.1.2 | ACTIVE
2025-07-13 11:52:19.037741 | 192.168.1.4 | ACTIVE
2025-07-13 11:49:52.125311 | 192.168.1.2 | ACTIVE
2025-07-13 11:52:19.037741 | 192.168.1.4 | ACTIVE
2025-07-13 11:49:52.125311 | 192.168.1.2 | ACTIVE
